epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.49,4.0924,2.31248,2.58212,0.92479,0.58621,0.65146,0.44874,3.24815,6.70224,1.87211,0.08614,0.00014,0.00014
2,471.281,3.39052,0.97871,1.86367,0.9989,0.96552,0.99059,0.74557,2.61203,1.09101,1.74607,0.0712899,0.000289929,0.000289929
3,672.444,3.07911,0.83801,1.70563,0.83355,0.93103,0.95571,0.68286,3.11793,0.88572,2.12391,0.0564396,0.00043957,0.00043957
4,868.786,2.79117,0.82385,1.64319,0.80192,1,0.88936,0.64028,2.39953,0.65894,1.70641,0.0415887,0.000588704,0.000588704
5,1059.31,2.68591,0.74115,1.74281,0.85095,1,0.89184,0.66069,2.22933,0.63874,1.58959,0.0267371,0.000737112,0.000737112
6,1249.76,2.57711,0.73395,1.70463,0.87547,1,0.95519,0.76709,1.931,0.57098,1.60991,0.0118846,0.000884576,0.000884576
7,1439.35,2.48996,0.76278,1.66265,0.9557,1,0.99167,0.81667,1.89105,0.58796,1.63759,0.000991232,0.000991232,0.000991232
8,1653.11,2.60191,0.78763,1.72284,0.97399,1,0.995,0.84111,1.89644,0.83797,1.55243,0.000988079,0.000988079,0.000988079
9,1843.92,2.31764,0.70028,1.67297,0.92676,1,0.94855,0.75001,1.89066,0.71138,1.66581,0.000984449,0.000984449,0.000984449
10,2032.64,2.25904,0.70147,1.68792,0.93232,1,0.99113,0.87963,1.54751,0.62513,1.53353,0.000980345,0.000980345,0.000980345
11,2220.95,2.13325,0.66987,1.65801,0.95909,1,0.98933,0.87023,1.62812,0.54139,1.46463,0.000975773,0.000975773,0.000975773
12,2408.63,2.0277,0.63265,1.69398,0.99762,1,0.995,0.88264,1.55737,0.56671,1.64523,0.000970736,0.000970736,0.000970736
13,2596.6,1.94233,0.6132,1.65709,0.98917,1,0.995,0.90681,1.35275,0.51656,1.56378,0.000965239,0.000965239,0.000965239
14,2784.47,1.9424,0.61724,1.66426,1,0.96983,0.995,0.90193,1.31353,0.59032,1.51479,0.000959289,0.000959289,0.000959289
15,2973.41,1.98002,0.65635,1.61056,0.99506,1,0.995,0.88578,1.52294,0.51852,1.60162,0.000952889,0.000952889,0.000952889
16,3162.11,1.92051,0.62736,1.73839,0.99256,1,0.995,0.94589,1.25888,0.43476,1.47402,0.000946048,0.000946048,0.000946048
17,3350.9,1.88171,0.58223,1.71493,0.99562,1,0.995,0.91995,1.19391,0.48029,1.55015,0.000938772,0.000938772,0.000938772
18,3538.93,1.77262,0.62482,1.67695,0.99568,1,0.995,0.93132,1.08773,0.53987,1.51845,0.000931067,0.000931067,0.000931067
19,3727.14,1.68135,0.57494,1.61763,0.99698,1,0.995,0.94674,1.06741,0.35841,1.47251,0.000922942,0.000922942,0.000922942
20,3916.31,1.58007,0.55873,1.62545,0.96195,1,0.994,0.97071,0.89712,0.37257,1.43391,0.000914405,0.000914405,0.000914405
21,4104.42,1.54708,0.52744,1.65218,0.99452,1,0.995,0.94479,1.11788,0.38016,1.40345,0.000905463,0.000905463,0.000905463
22,4292.02,1.55765,0.53787,1.72951,0.99447,1,0.995,0.94811,1.1463,0.3619,1.38805,0.000896127,0.000896127,0.000896127
23,4482.31,1.67736,0.60781,1.61671,0.99683,1,0.995,0.93736,1.12166,0.38034,1.38074,0.000886404,0.000886404,0.000886404
24,4671.01,1.57022,0.54635,1.65683,0.99802,1,0.995,0.94485,1.03306,0.36264,1.4319,0.000876305,0.000876305,0.000876305
25,4859.7,1.55985,0.55816,1.69707,0.99759,1,0.995,0.93122,0.97231,0.35339,1.41616,0.000865839,0.000865839,0.000865839
