epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3033.37,1.2095,0.68524,1.91906,0.94229,0.96316,0.98523,0.84729,0.85489,0.71569,1.60665,0.0672055,8.21918e-05,8.21918e-05
2,6057.59,1.15603,0.62133,1.86234,0.93847,0.99474,0.9859,0.87279,0.76573,0.39573,1.57083,0.0339555,0.000165515,0.000165515
3,9084.44,1.06881,0.57715,1.78162,0.93907,0.97349,0.98197,0.91124,0.64804,0.3861,1.54994,0.000705419,0.000248798,0.000248798
4,12118.2,1.07912,0.5769,1.76894,0.93537,0.99022,0.98427,0.92372,0.64195,0.37863,1.49958,0.000249863,0.000249863,0.000249863
5,15145,1.02854,0.55767,1.75744,0.95395,0.98127,0.97712,0.90881,0.61364,0.35281,1.48288,0.000249756,0.000249756,0.000249756
6,18172.4,1.0006,0.54464,1.68537,0.9453,0.98947,0.97472,0.90375,0.649,0.37601,1.55725,0.000249619,0.000249619,0.000249619
7,21196.1,1.01619,0.5545,1.73568,0.95411,0.98489,0.9851,0.93493,0.59522,0.33565,1.41599,0.000249451,0.000249451,0.000249451
8,24220.6,1,0.53879,1.69811,0.93999,0.98933,0.9817,0.92253,0.58353,0.32966,1.43916,0.000249253,0.000249253,0.000249253
9,27247.4,0.99686,0.53591,1.71895,0.96658,0.98947,0.98539,0.91881,0.57384,0.33041,1.39221,0.000249024,0.000249024,0.000249024
10,30280.5,0.97615,0.52673,1.6629,0.96882,0.98109,0.98414,0.93497,0.54098,0.31246,1.36544,0.000248765,0.000248765,0.000248765
11,33313.3,0.98089,0.51909,1.68958,0.97378,0.97721,0.98279,0.93037,0.5561,0.3131,1.33218,0.000248476,0.000248476,0.000248476
12,36341.9,0.95317,0.52034,1.67278,0.93779,0.98947,0.98258,0.92817,0.5594,0.31662,1.33417,0.000248157,0.000248157,0.000248157
13,39378.8,0.98562,0.53077,1.66955,0.94444,0.98421,0.98587,0.93023,0.54605,0.31315,1.38209,0.000247808,0.000247808,0.000247808
14,42413.1,0.9805,0.53665,1.69735,0.96872,0.978,0.9867,0.93178,0.53791,0.32354,1.37285,0.000247429,0.000247429,0.000247429
15,45444.8,0.94842,0.52274,1.66342,0.96582,0.96842,0.98926,0.9252,0.59455,0.33376,1.35933,0.00024702,0.00024702,0.00024702
16,48473.7,0.9228,0.50846,1.60079,0.96758,0.98947,0.98966,0.93679,0.54055,0.29869,1.34359,0.000246581,0.000246581,0.000246581
17,51514.1,0.92946,0.50534,1.59854,0.96434,0.98421,0.98529,0.93668,0.54741,0.33765,1.31751,0.000246112,0.000246112,0.000246112
18,54536.6,0.93344,0.51304,1.62924,0.95761,0.97895,0.98052,0.9337,0.50259,0.33221,1.33949,0.000245614,0.000245614,0.000245614
19,57560.4,0.92577,0.51155,1.61148,0.96388,0.98421,0.98091,0.93763,0.50649,0.31664,1.35514,0.000245086,0.000245086,0.000245086
20,60578.3,0.92823,0.51274,1.62239,0.951,0.98947,0.98349,0.94207,0.51786,0.31091,1.31691,0.000244529,0.000244529,0.000244529
21,63597.6,0.92635,0.50506,1.63067,0.96626,0.99474,0.98712,0.94027,0.50578,0.32632,1.28716,0.000243943,0.000243943,0.000243943
22,66612.4,0.89843,0.50251,1.60943,0.96396,0.98552,0.99079,0.95118,0.4932,0.29714,1.30229,0.000243328,0.000243328,0.000243328
23,69630.3,0.92535,0.50824,1.6267,0.96345,0.99474,0.99114,0.93925,0.52397,0.3129,1.35005,0.000242684,0.000242684,0.000242684
