epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.958,0.02804,0.31008,1.60362,0.67994,0.3668,0.38547,0.24744,0.05624,0.83706,2.06569,0.0937,0.0007,0.0007
2,818.47,0.03893,0.41029,1.63686,0.48039,0.65517,0.61411,0.32166,0.03766,3.12036,2.76451,0.0864852,0.00148515,0.00148515
3,1196.73,0.04213,0.50894,1.79046,0.033,0.17241,0.01373,0.0029,0.07222,805.542,19.9126,0.0792545,0.00225446,0.00225446
4,1597.67,0.03719,0.43142,1.60902,0,0,0,0,0.14023,3975.2,22.7415,0.0720079,0.00300793,0.00300793
5,2020.68,0.04154,0.44168,1.64239,0,0,0,0,0.13284,511810,5946.46,0.0647456,0.00374556,0.00374556
6,2560.08,0.03646,0.39815,1.6001,0,0,0,0,0.11952,1.08505e+06,6089,0.0574674,0.00446735,0.00446735
7,3148.66,0.03684,0.38329,1.62911,0,0,0,0,0.09893,287213,2895.08,0.0501733,0.0051733,0.0051733
8,3629.5,0.03753,0.43726,1.76067,0,0,0,0,0.10796,136748,984.957,0.0428634,0.00586341,0.00586341
9,4087.88,0.03676,0.39602,1.67421,0,0,0,0,0.10963,75158.6,209.887,0.0355377,0.00653768,0.00653768
10,4535.6,0.03691,0.37813,1.70795,0,0,0,0,0.14668,32707.7,23.8622,0.0281961,0.00719611,0.00719611
11,4924.77,0.03858,0.39541,1.72565,0,0,0,0,0.1306,3279.42,7.15647,0.0208387,0.0078387,0.0078387
12,5318.99,0.03739,0.40492,1.72133,0,0,0,0,0.13219,1068.63,6.60888,0.0134655,0.00846545,0.00846545
13,5714.79,0.03739,0.37523,1.65227,0,0,0,0,0.16313,4.32221,10.3544,0.008812,0.008812,0.008812
14,6120.08,0.03339,0.3946,1.6135,0.05974,0.10345,0.03448,0.01765,0.11087,3.63777,8.51186,0.008713,0.008713,0.008713
15,6495.36,0.03597,0.3708,1.58459,0.03687,0.13793,0.01519,0.00771,0.10519,35.4093,6.77898,0.008614,0.008614,0.008614
16,6835.37,0.03454,0.35654,1.4289,0.00145,0.06897,0.00085,0.00021,0.13782,3.75355,8.45806,0.008515,0.008515,0.008515
17,7173.5,0.03517,0.3563,1.54892,0,0,0,0,0.1332,184.246,8.10995,0.008416,0.008416,0.008416
18,7535.19,0.03282,0.35133,1.42562,0,0,0,0,0.14629,4.57827,14.6119,0.008317,0.008317,0.008317
19,7881.31,0.0332,0.33029,1.39314,0.0641,0.03448,0.00322,0.00129,0.11451,2.83839,15.4755,0.008218,0.008218,0.008218
20,8195.58,0.03363,0.33767,1.42299,0.02717,0.13793,0.00919,0.0028,0.10679,5.55393,9.40416,0.008119,0.008119,0.008119
21,8505.98,0.03317,0.33981,1.38504,0.14175,0.31034,0.09679,0.04924,0.05402,4.99412,3.96411,0.00802,0.00802,0.00802
22,8830.52,0.03269,0.35721,1.41993,0.00368,0.06897,0.00066,0.00013,0.14229,122.99,11.0978,0.007921,0.007921,0.007921
23,9152.18,0.03379,0.34626,1.52716,0,0,0,0,0.14501,393.517,9.88436,0.007822,0.007822,0.007822
24,9470.54,0.03004,0.31314,1.29687,0.00319,0.03448,0.0008,0.00055,0.08599,129.1,5.50327,0.007723,0.007723,0.007723
25,9787.88,0.03059,0.33383,1.30979,0.03782,0.24138,0.01934,0.0136,0.04791,28.535,2.95885,0.007624,0.007624,0.007624
26,10102.7,0.03156,0.32527,1.37472,1,0.56934,0.73613,0.55171,0.03433,0.74957,1.83446,0.007525,0.007525,0.007525
27,10415.8,0.03222,0.33833,1.38733,0.68082,0.93103,0.86366,0.68622,0.0244,0.37758,1.4623,0.007426,0.007426,0.007426
28,10782.6,0.03072,0.32539,1.28582,0.96692,1,0.995,0.81207,0.02219,0.28281,1.29265,0.007327,0.007327,0.007327
29,11110,0.03083,0.31571,1.31173,0.96655,0.99648,0.98833,0.842,0.0222,0.2973,1.45556,0.007228,0.007228,0.007228
30,11416.8,0.02849,0.30165,1.23595,0.95915,0.89655,0.9448,0.83259,0.02239,0.32358,1.2305,0.007129,0.007129,0.007129
31,11725.5,0.03058,0.3321,1.41582,0.77453,0.86207,0.90619,0.70196,0.02641,0.40839,1.39558,0.00703,0.00703,0.00703
32,12039.1,0.03163,0.33291,1.38473,0.97759,1,0.995,0.84773,0.02139,0.23921,1.10132,0.006931,0.006931,0.006931
33,12336.6,0.0312,0.3156,1.38957,0.96621,1,0.97567,0.87281,0.01787,0.23127,1.55703,0.006832,0.006832,0.006832
34,12649.9,0.03048,0.31971,1.32769,0.96661,0.99822,0.986,0.88183,0.01866,0.25719,1.48003,0.006733,0.006733,0.006733
35,12956,0.03012,0.31327,1.32306,0.93147,0.93757,0.9897,0.87478,0.01909,0.32038,1.22601,0.006634,0.006634,0.006634
36,13266.4,0.03081,0.31837,1.34975,0.98876,1,0.995,0.86646,0.01926,0.30548,1.20313,0.006535,0.006535,0.006535
37,13567.9,0.03057,0.30903,1.34054,0.95993,1,0.995,0.78476,0.02229,0.45929,1.21598,0.006436,0.006436,0.006436
38,13881.2,0.02771,0.30913,1.27736,0.95647,1,0.994,0.8072,0.02273,0.29802,1.31999,0.006337,0.006337,0.006337
39,14180.8,0.03105,0.34296,1.4079,0.98694,1,0.995,0.84328,0.0229,0.29887,1.30574,0.006238,0.006238,0.006238
40,14473.6,0.03153,0.32029,1.43501,1,0.96319,0.995,0.88004,0.02125,0.38205,1.07621,0.006139,0.006139,0.006139
41,14767.2,0.03039,0.32006,1.41675,0.76872,0.91715,0.91851,0.79285,0.02068,0.45975,1.24604,0.00604,0.00604,0.00604
42,15061.5,0.02893,0.31292,1.31193,0.72858,0.92577,0.91209,0.82016,0.01943,0.48644,1.21487,0.005941,0.005941,0.005941
43,15359.3,0.02907,0.31149,1.29676,0.99386,1,0.995,0.88752,0.02106,0.25912,1.15418,0.005842,0.005842,0.005842
44,15659.5,0.02957,0.30967,1.31424,0.99458,1,0.995,0.83042,0.02443,0.31255,1.75926,0.005743,0.005743,0.005743
45,15960.5,0.03111,0.32389,1.36799,0.99192,1,0.995,0.86059,0.01956,0.2705,1.04292,0.005644,0.005644,0.005644
46,16273,0.03029,0.29987,1.31242,0.99162,1,0.995,0.86868,0.01897,0.25667,0.99725,0.005545,0.005545,0.005545
47,16595.2,0.02967,0.30529,1.29746,0.99141,1,0.995,0.85766,0.01932,0.24206,1.02112,0.005446,0.005446,0.005446
48,16946.4,0.02888,0.31144,1.27886,0.9953,1,0.995,0.89837,0.01981,0.24839,1.09171,0.005347,0.005347,0.005347
49,17329.8,0.0301,0.31857,1.42462,0.99541,1,0.995,0.91547,0.01946,0.24304,1.02588,0.005248,0.005248,0.005248
50,17720.8,0.03038,0.31794,1.43586,0.99653,1,0.995,0.89312,0.01937,0.22141,1.04853,0.005149,0.005149,0.005149
51,18128.9,0.02713,0.30592,1.24198,0.99194,1,0.995,0.88105,0.01936,0.24042,1.14562,0.00505,0.00505,0.00505
52,18523.1,0.03142,0.32169,1.2963,0.99403,1,0.995,0.8763,0.02004,0.23287,1.06964,0.004951,0.004951,0.004951
